word,topic_0,topic_1,topic_2,topic_3
Manta ray,6.75092951496481e-06,0.001152958837337792,6.648979251622222e-06,4.873979378317017e-06
Cityscape,7.343525339820189e-06,0.0013368467334657907,6.634904366364935e-06,4.914212240691995e-06
Estate,6.77250591252232e-06,0.00014155630196910352,0.00023177835100796074,4.880230790149653e-06
Przewalski's horse,6.755282811354846e-06,0.0002575038524810225,1.2492591849877499e-05,4.867764346272452e-06
Rear-view mirror,6.790815405111061e-06,0.0002748407132457942,6.6833085838879924e-06,0.0003234007745049894
Neck,0.00017385506362188607,6.5947265284194145e-06,7.345178346440662e-06,0.0031522170174866915
Artist,0.0008926375885494053,6.303741884039482e-06,6.796743946324568e-06,1.5442365111084655e-05
Eating,6.72062242301763e-06,6.180066066008294e-06,0.00012305816926527768,4.9363447942596395e-06
Bearded Seal,6.760451469745021e-06,3.326005389681086e-05,6.6474449340603314e-06,0.0001673584629315883
Marine mammal,0.00013084927923046052,0.011813810095191002,8.099280967144296e-05,0.00036528572672978044
